Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2025-09-06 15:00:54.253,11462.0,323.0,8,100.0,False,14,car,0 days 00:00:00.298000,0 days 01:13:33.676000,26.73722222222222
2025-09-06 15:00:54.414,11415.0,326.0,8,100.0,False,12,car,0 days 00:00:00.459000,0 days 01:13:33.837000,41.31666666666666
2025-09-06 15:00:54.773,11543.0,328.0,8,100.0,False,12,car,0 days 00:00:00.818000,0 days 01:13:34.196000,74.02555555555554
2025-09-06 15:00:55.213,11755.0,331.0,8,100.0,False,12,car,0 days 00:00:01.258000,0 days 01:13:34.636000,114.4811111111111
2025-09-06 15:00:55.372,11709.0,331.0,8,100.0,False,12,car,0 days 00:00:01.417000,0 days 01:13:34.795000,129.10027777777776
2025-09-06 15:00:55.692,11812.0,333.0,8,100.0,False,12,car,0 days 00:00:01.737000,0 days 01:13:35.115000,158.70027777777776
2025-09-06 15:00:56.053,11815.0,335.0,8,100.0,False,12,car,0 days 00:00:02.098000,0 days 01:13:35.476000,192.2933333333333
2025-09-06 15:00:56.333,11975.0,336.0,8,100.0,False,12,car,0 days 00:00:02.378000,0 days 01:13:35.756000,218.42666666666665
2025-09-06 15:00:56.532,11999.0,337.0,8,100.0,False,12,car,0 days 00:00:02.577000,0 days 01:13:35.955000,237.05527777777775
2025-09-06 15:00:56.772,11952.0,338.0,8,100.0,False,12,car,0 days 00:00:02.817000,0 days 01:13:36.195000,259.5886111111111
2025-09-06 15:00:57.092,11953.0,339.0,8,100.0,False,12,car,0 days 00:00:03.137000,0 days 01:13:36.515000,289.72194444444443
2025-09-06 15:00:57.372,12027.0,341.0,8,100.0,False,12,car,0 days 00:00:03.417000,0 days 01:13:36.795000,316.2441666666666
2025-09-06 15:00:57.652,12057.0,342.0,8,100.0,False,12,car,0 days 00:00:03.697000,0 days 01:13:37.075000,342.84416666666664
2025-09-06 15:00:57.973,12058.0,342.0,8,100.0,False,12,car,0 days 00:00:04.018000,0 days 01:13:37.396000,373.33916666666664
2025-09-06 15:00:58.253,12053.0,343.0,8,100.0,False,12,car,0 days 00:00:04.298000,0 days 01:13:37.676000,400.01694444444445
2025-09-06 15:00:58.452,12146.0,343.0,8,100.0,False,12,car,0 days 00:00:04.497000,0 days 01:13:37.875000,418.9772222222222
2025-09-06 15:00:58.693,12087.0,344.0,8,100.0,False,12,car,0 days 00:00:04.738000,0 days 01:13:38.116000,442.0061111111112
2025-09-06 15:00:58.853,12097.0,344.0,8,100.0,False,12,car,0 days 00:00:04.898000,0 days 01:13:38.276000,457.295
2025-09-06 15:00:59.173,12174.0,345.0,8,100.0,False,12,car,0 days 00:00:05.218000,0 days 01:13:38.596000,487.9616666666667
2025-09-06 15:00:59.413,12222.0,345.0,8,100.0,False,12,car,0 days 00:00:05.458000,0 days 01:13:38.836000,510.9616666666667
2025-09-06 15:00:59.572,12080.0,346.0,8,100.0,False,12,car,0 days 00:00:05.617000,0 days 01:13:38.995000,526.2433333333333
2025-09-06 15:00:59.893,12199.0,346.0,8,100.0,False,12,car,0 days 00:00:05.938000,0 days 01:13:39.316000,557.095
2025-09-06 15:01:00.093,12238.0,347.0,8,100.0,False,12,car,0 days 00:00:06.138000,0 days 01:13:39.516000,576.3727777777779
2025-09-06 15:01:00.333,12235.0,347.0,8,100.0,False,12,car,0 days 00:00:06.378000,0 days 01:13:39.756000,599.5061111111112
2025-09-06 15:01:00.613,12297.0,348.0,8,100.0,False,12,car,0 days 00:00:06.658000,0 days 01:13:40.036000,626.5727777777779
2025-09-06 15:01:00.853,12211.0,347.0,8,100.0,False,12,car,0 days 00:00:06.898000,0 days 01:13:40.276000,649.7061111111111
2025-09-06 15:01:01.254,12132.0,348.0,8,100.0,False,12,car,0 days 00:00:07.299000,0 days 01:13:40.677000,688.4694444444445
2025-09-06 15:01:01.653,12284.0,348.0,8,100.0,False,12,car,0 days 00:00:07.698000,0 days 01:13:41.076000,727.0394444444446
2025-09-06 15:01:01.973,12236.0,348.0,8,100.0,False,12,car,0 days 00:00:08.018000,0 days 01:13:41.396000,757.972777777778
2025-09-06 15:01:02.252,11624.0,347.0,8,0.0,True,8,car,0 days 00:00:08.297000,0 days 01:13:41.675000,784.865277777778
2025-09-06 15:01:02.412,10924.0,312.0,8,0.0,True,8,car,0 days 00:00:08.457000,0 days 01:13:41.835000,798.7319444444447
2025-09-06 15:01:02.653,9878.0,277.0,8,0.0,True,8,car,0 days 00:00:08.698000,0 days 01:13:42.076000,817.2755555555558
2025-09-06 15:01:02.893,9713.0,246.0,8,0.0,True,8,car,0 days 00:00:08.938000,0 days 01:13:42.316000,833.6755555555558
2025-09-06 15:01:03.092,9976.0,218.0,8,0.0,True,8,car,0 days 00:00:09.137000,0 days 01:13:42.515000,845.7261111111113
2025-09-06 15:01:03.292,11160.0,193.0,8,0.0,True,8,car,0 days 00:00:09.337000,0 days 01:13:42.715000,856.4483333333335
2025-09-06 15:01:03.532,10775.0,160.0,8,0.0,True,8,car,0 days 00:00:09.577000,0 days 01:13:42.955000,867.1150000000001
2025-09-06 15:01:03.852,10842.0,136.0,5,0.0,True,8,car,0 days 00:00:09.897000,0 days 01:13:43.275000,879.203888888889
2025-09-06 15:01:04.132,9718.0,118.0,2,0.0,True,8,car,0 days 00:00:10.177000,0 days 01:13:43.555000,888.3816666666668
2025-09-06 15:01:04.333,8776.0,109.0,2,0.0,True,8,car,0 days 00:00:10.378000,0 days 01:13:43.756000,894.4675000000001
2025-09-06 15:01:04.692,8026.0,98.0,2,0.0,True,8,car,0 days 00:00:10.737000,0 days 01:13:44.115000,904.2402777777779
2025-09-06 15:01:04.933,7321.0,90.0,2,0.0,True,8,car,0 days 00:00:10.978000,0 days 01:13:44.356000,910.2652777777779
2025-09-06 15:01:05.292,7167.0,84.0,2,0.0,False,8,car,0 days 00:00:11.337000,0 days 01:13:44.715000,918.6419444444446
2025-09-06 15:01:05.493,7460.0,79.0,2,5.0,False,8,car,0 days 00:00:11.538000,0 days 01:13:44.916000,923.0527777777779
2025-09-06 15:01:05.653,7816.0,81.0,2,32.0,False,8,car,0 days 00:00:11.698000,0 days 01:13:45.076000,926.6527777777779
2025-09-06 15:01:05.853,7312.0,86.0,2,3.0,True,8,car,0 days 00:00:11.898000,0 days 01:13:45.276000,931.4305555555557
2025-09-06 15:01:06.133,6988.0,83.0,2,0.0,True,8,car,0 days 00:00:12.178000,0 days 01:13:45.556000,937.8861111111113
2025-09-06 15:01:06.573,6360.0,75.0,2,0.0,False,8,car,0 days 00:00:12.618000,0 days 01:13:45.996000,947.0527777777779
2025-09-06 15:01:06.934,6819.0,73.0,2,22.0,False,8,car,0 days 00:00:12.979000,0 days 01:13:46.357000,954.3730555555557
2025-09-06 15:01:07.093,7005.0,74.0,2,22.0,False,8,car,0 days 00:00:13.138000,0 days 01:13:46.516000,957.641388888889
2025-09-06 15:01:07.373,7801.0,79.0,2,36.0,False,8,car,0 days 00:00:13.418000,0 days 01:13:46.796000,963.7858333333334
2025-09-06 15:01:07.573,8076.0,84.0,2,43.0,False,8,car,0 days 00:00:13.618000,0 days 01:13:46.996000,968.4525000000001
2025-09-06 15:01:08.013,10032.0,103.0,2,73.0,False,8,car,0 days 00:00:14.058000,0 days 01:13:47.436000,981.041388888889
2025-09-06 15:01:08.253,10111.0,108.0,2,80.0,False,8,car,0 days 00:00:14.298000,0 days 01:13:47.676000,988.241388888889
2025-09-06 15:01:08.614,10594.0,136.0,3,100.0,False,8,car,0 days 00:00:14.659000,0 days 01:13:48.037000,1001.8791666666668
2025-09-06 15:01:08.772,11170.0,142.0,3,100.0,False,8,car,0 days 00:00:14.817000,0 days 01:13:48.195000,1008.111388888889
2025-09-06 15:01:08.972,11821.0,153.0,3,100.0,False,8,car,0 days 00:00:15.017000,0 days 01:13:48.395000,1016.611388888889
2025-09-06 15:01:09.133,11792.0,163.0,3,100.0,False,8,car,0 days 00:00:15.178000,0 days 01:13:48.556000,1023.9011111111113
2025-09-06 15:01:09.453,11008.0,178.0,4,100.0,False,8,car,0 days 00:00:15.498000,0 days 01:13:48.876000,1039.7233333333334
2025-09-06 15:01:09.812,11853.0,195.0,4,100.0,False,8,car,0 days 00:00:15.857000,0 days 01:13:49.235000,1059.1691666666668
2025-09-06 15:01:10.053,10776.0,202.0,4,100.0,False,8,car,0 days 00:00:16.098000,0 days 01:13:49.476000,1072.6919444444445
2025-09-06 15:01:10.493,11340.0,216.0,5,100.0,False,8,car,0 days 00:00:16.538000,0 days 01:13:49.916000,1099.0919444444446
2025-09-06 15:01:10.853,11926.0,228.0,5,100.0,False,8,car,0 days 00:00:16.898000,0 days 01:13:50.276000,1121.8919444444446
2025-09-06 15:01:11.252,10945.0,239.0,6,100.0,False,8,car,0 days 00:00:17.297000,0 days 01:13:50.675000,1148.3811111111113
2025-09-06 15:01:11.453,11130.0,245.0,6,100.0,False,8,car,0 days 00:00:17.498000,0 days 01:13:50.876000,1162.060277777778
2025-09-06 15:01:11.853,11480.0,254.0,6,100.0,False,8,car,0 days 00:00:17.898000,0 days 01:13:51.276000,1190.2825000000003
2025-09-06 15:01:12.092,11616.0,258.0,6,100.0,False,8,car,0 days 00:00:18.137000,0 days 01:13:51.515000,1207.4108333333336
2025-09-06 15:01:12.332,10729.0,263.0,6,100.0,False,8,car,0 days 00:00:18.377000,0 days 01:13:51.755000,1224.944166666667
2025-09-06 15:01:12.733,10826.0,272.0,7,100.0,False,8,car,0 days 00:00:18.778000,0 days 01:13:52.156000,1255.2419444444447
2025-09-06 15:01:13.093,11046.0,277.0,7,100.0,False,8,car,0 days 00:00:19.138000,0 days 01:13:52.516000,1282.941944444445
2025-09-06 15:01:13.253,11143.0,280.0,7,100.0,False,8,car,0 days 00:00:19.298000,0 days 01:13:52.676000,1295.386388888889
2025-09-06 15:01:13.573,11297.0,284.0,7,100.0,False,8,car,0 days 00:00:19.618000,0 days 01:13:52.996000,1320.6308333333336
2025-09-06 15:01:13.813,11446.0,289.0,7,100.0,False,8,car,0 days 00:00:19.858000,0 days 01:13:53.236000,1339.8975000000005
2025-09-06 15:01:14.093,11613.0,290.0,7,100.0,False,8,car,0 days 00:00:20.138000,0 days 01:13:53.516000,1362.4530555555561
2025-09-06 15:01:14.373,11529.0,294.0,7,100.0,False,8,car,0 days 00:00:20.418000,0 days 01:13:53.796000,1385.3197222222227
2025-09-06 15:01:14.733,10587.0,297.0,8,100.0,False,8,car,0 days 00:00:20.778000,0 days 01:13:54.156000,1415.0197222222228
2025-09-06 15:01:14.973,10737.0,297.0,8,100.0,False,8,car,0 days 00:00:21.018000,0 days 01:13:54.396000,1434.819722222223
2025-09-06 15:01:15.134,10756.0,302.0,8,100.0,False,8,car,0 days 00:00:21.179000,0 days 01:13:54.557000,1448.3258333333338
2025-09-06 15:01:15.454,10851.0,304.0,8,100.0,False,8,car,0 days 00:00:21.499000,0 days 01:13:54.877000,1475.3480555555561
2025-09-06 15:01:15.852,10937.0,307.0,8,100.0,False,8,car,0 days 00:00:21.897000,0 days 01:13:55.275000,1509.2886111111115
2025-09-06 15:01:16.013,10965.0,309.0,8,100.0,False,8,car,0 days 00:00:22.058000,0 days 01:13:55.436000,1523.1077777777784
2025-09-06 15:01:16.293,11036.0,310.0,8,100.0,False,8,car,0 days 00:00:22.338000,0 days 01:13:55.716000,1547.2188888888898
2025-09-06 15:01:16.573,11126.0,311.0,8,100.0,False,8,car,0 days 00:00:22.618000,0 days 01:13:55.996000,1571.4077777777784
2025-09-06 15:01:16.733,11103.0,313.0,8,100.0,False,8,car,0 days 00:00:22.778000,0 days 01:13:56.156000,1585.3188888888894
2025-09-06 15:01:17.053,11147.0,314.0,8,100.0,False,8,car,0 days 00:00:23.098000,0 days 01:13:56.476000,1613.2300000000005
2025-09-06 15:01:17.293,11205.0,314.0,8,100.0,False,8,car,0 days 00:00:23.338000,0 days 01:13:56.716000,1634.1633333333339
2025-09-06 15:01:17.613,11274.0,318.0,8,100.0,False,8,car,0 days 00:00:23.658000,0 days 01:13:57.036000,1662.4300000000005
2025-09-06 15:01:17.813,11274.0,318.0,8,100.0,False,8,car,0 days 00:00:23.858000,0 days 01:13:57.236000,1680.096666666667
2025-09-06 15:01:18.133,11302.0,320.0,8,100.0,False,8,car,0 days 00:00:24.178000,0 days 01:13:57.556000,1708.5411111111116
2025-09-06 15:01:18.332,11329.0,321.0,8,100.0,False,8,car,0 days 00:00:24.377000,0 days 01:13:57.755000,1726.285277777778
2025-09-06 15:01:18.653,11401.0,322.0,8,100.0,False,8,car,0 days 00:00:24.698000,0 days 01:13:58.076000,1754.9969444444448
2025-09-06 15:01:18.813,11475.0,323.0,8,100.0,False,8,car,0 days 00:00:24.858000,0 days 01:13:58.236000,1769.3525000000004
2025-09-06 15:01:19.093,11418.0,323.0,8,100.0,False,8,car,0 days 00:00:25.138000,0 days 01:13:58.516000,1794.4747222222227
2025-09-06 15:01:19.373,11522.0,325.0,8,100.0,False,8,car,0 days 00:00:25.418000,0 days 01:13:58.796000,1819.7525000000003
2025-09-06 15:01:19.613,11482.0,326.0,8,100.0,False,8,car,0 days 00:00:25.658000,0 days 01:13:59.036000,1841.4858333333339
2025-09-06 15:01:19.853,11617.0,327.0,8,100.0,False,8,car,0 days 00:00:25.898000,0 days 01:13:59.276000,1863.2858333333338
2025-09-06 15:01:20.093,11579.0,327.0,8,100.0,False,8,car,0 days 00:00:26.138000,0 days 01:13:59.516000,1885.085833333334
2025-09-06 15:01:20.293,11565.0,328.0,8,100.0,False,8,car,0 days 00:00:26.338000,0 days 01:13:59.716000,1903.3080555555562
2025-09-06 15:01:20.453,11524.0,329.0,8,100.0,False,8,car,0 days 00:00:26.498000,0 days 01:13:59.876000,1917.9302777777784
2025-09-06 15:01:20.653,11588.0,328.0,8,100.0,False,8,car,0 days 00:00:26.698000,0 days 01:14:00.076000,1936.1525000000006
2025-09-06 15:01:21.013,11582.0,328.0,8,100.0,False,8,car,0 days 00:00:27.058000,0 days 01:14:00.436000,1968.9525000000006
2025-09-06 15:01:21.173,11521.0,328.0,8,100.0,False,8,car,0 days 00:00:27.218000,0 days 01:14:00.596000,1983.5302777777783
2025-09-06 15:01:21.414,11657.0,322.0,8,0.0,False,8,car,0 days 00:00:27.459000,0 days 01:14:00.837000,2005.0863888888894
2025-09-06 15:01:21.613,10257.0,288.0,8,0.0,True,8,car,0 days 00:00:27.658000,0 days 01:14:01.036000,2021.0063888888894
2025-09-06 15:01:21.893,9076.0,272.0,8,0.0,True,8,car,0 days 00:00:27.938000,0 days 01:14:01.316000,2042.1619444444448
2025-09-06 15:01:22.174,9547.0,210.0,8,0.0,True,8,car,0 days 00:00:28.219000,0 days 01:14:01.597000,2058.5536111111114
2025-09-06 15:01:22.412,9681.0,176.0,8,0.0,True,8,car,0 days 00:00:28.457000,0 days 01:14:01.835000,2070.189166666667
2025-09-06 15:01:22.612,9314.0,157.0,7,0.0,True,8,car,0 days 00:00:28.657000,0 days 01:14:02.035000,2078.911388888889
2025-09-06 15:01:22.813,9986.0,144.0,5,0.0,True,8,car,0 days 00:00:28.858000,0 days 01:14:02.236000,2086.951388888889
2025-09-06 15:01:23.172,8835.0,130.0,3,0.0,True,8,car,0 days 00:00:29.217000,0 days 01:14:02.595000,2099.915277777778
2025-09-06 15:01:23.452,8206.0,121.0,3,0.0,True,8,car,0 days 00:00:29.497000,0 days 01:14:02.875000,2109.326388888889
2025-09-06 15:01:23.813,8303.0,112.0,3,16.0,False,8,car,0 days 00:00:29.858000,0 days 01:14:03.236000,2120.5575000000003
2025-09-06 15:01:24.052,8665.0,111.0,3,39.0,False,8,car,0 days 00:00:30.097000,0 days 01:14:03.475000,2127.926666666667
2025-09-06 15:01:24.252,9253.0,114.0,3,62.0,False,8,car,0 days 00:00:30.297000,0 days 01:14:03.675000,2134.2600000000007
2025-09-06 15:01:24.493,9603.0,125.0,3,80.0,False,8,car,0 days 00:00:30.538000,0 days 01:14:03.916000,2142.6280555555563
2025-09-06 15:01:24.733,9443.0,130.0,3,30.0,False,8,car,0 days 00:00:30.778000,0 days 01:14:04.156000,2151.294722222223
2025-09-06 15:01:24.973,9720.0,131.0,3,36.0,False,8,car,0 days 00:00:31.018000,0 days 01:14:04.396000,2160.0280555555564
2025-09-06 15:01:25.173,10091.0,132.0,3,68.0,False,8,car,0 days 00:00:31.218000,0 days 01:14:04.596000,2167.36138888889
2025-09-06 15:01:25.412,10992.0,140.0,3,95.0,False,8,car,0 days 00:00:31.457000,0 days 01:14:04.835000,2176.655833333334
2025-09-06 15:01:25.773,10158.0,151.0,3,100.0,False,8,car,0 days 00:00:31.818000,0 days 01:14:05.196000,2191.7977777777787
2025-09-06 15:01:26.093,10914.0,170.0,4,100.0,False,8,car,0 days 00:00:32.138000,0 days 01:14:05.516000,2206.9088888888896
2025-09-06 15:01:26.373,11544.0,183.0,4,100.0,False,8,car,0 days 00:00:32.418000,0 days 01:14:05.796000,2221.142222222223
2025-09-06 15:01:26.613,11898.0,194.0,4,100.0,False,8,car,0 days 00:00:32.658000,0 days 01:14:06.036000,2234.0755555555565
